"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-01","11.63"," 2059"," 2058","0.03","0.0","0.0","28","34","22",,"  130","  140","0.0","17.9","21.0","    1",,,,,"    1",,,,,,"    1",,,"    1","    1",,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-02","11.41"," 1213"," 1136","0.89","6.0","0.0","26","32","20",,"   10","   20","0.0","19.9","23.9","    1","    1",,,,"    1",,,,,,"    1",,,"    1","    1","    1",,,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-03","11.86"," 2015"," 2244","0.04","0.9","5.0","25","27","22",,"  340","  340","0.0","21.0","23.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-04","14.32"," 0537"," 0536","0.00","0.1","6.0","11","22","0",,"  310","  310","0.0","25.1","29.1","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-05","18.34"," 1514"," 1438","0.00","0.8","6.0","15","28","1",,"  180","  180","0.0","30.0","38.0","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-06","16.11"," 1945"," 1944","0.00","0.7","6.0","20","29","10",,"  310","  320","0.0","30.0","34.0","    1",,,,,,,,"    1",,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-07","15.21"," 2246"," 2302","0.00","0.0","4.0","15","29","0",,"  200","  210","0.0","25.9","31.1",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-08","13.20"," 0322"," 0323","0.00","0.0","4.0","28","35","21",,"  240","  240","0.0","23.9","25.9",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-09","9.40"," 2011"," 2010","0.08","0.0","2.0","28","36","20",,"  160","  150","0.0","13.0","15.0","    1","    1",,,,,,,,,,"    1",,,"    1",,,,,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-10","16.11"," 2255"," 2255","0.03","0.4","1.0","32","35","28",,"  270","  270","0.0","31.1","36.0","    1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-11","17.00"," 0415"," 0414","0.00","0.1","2.0","21","30","12",,"  300","  300","0.0","34.0","38.9","    1",,,,,,,,"    1",,,"    1",,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-12","14.54"," 1522"," 1631","0.00","1.6","2.0","14","16","11",,"   80","   70","0.0","23.0","25.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-13","7.83"," 0019"," 0017","0.00","0.0","3.0","9","15","2",,"   20","   10","0.0","15.0","17.0","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-14","14.09"," 1148"," 1146","0.00","0.0","3.0","13","27","-1",,"  160","  160","0.0","29.1","34.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-15","13.65"," 2305"," 2308","0.00","0.0","2.0","28","36","19",,"  320","  310","0.0","29.1","32.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-16","14.99"," 0120"," 0116","0.00","0.0","2.0","13","19","6",,"  330","  330","0.0","25.9","30.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-17","17.00"," 0532"," 1244","0.00","0.0","2.0","21","24","17",,"  130","  160","0.0","25.1","30.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-18","13.65"," 0919"," 0915","0.00","0.0","2.0","19","26","11",,"  330","  330","0.0","23.9","29.1","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-19","11.63"," 1903"," 1915","0.23","6.8","2.0","9","19","-2",,"  340","  340","0.0","23.0","28.0","    1","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1","    1",,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-20","11.18"," 0045"," 0044","0.00","0.0","9.0","-8","2","-19",,"  320","  320","0.0","19.9","21.9","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-21","7.83"," 2321"," 2242","0.00","1.1","8.0","-3","7","-14",,"  140","  150","0.0","16.1","17.9","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-22","15.88"," 2105"," 2105","0.00","0.8","9.0","14","20","7",,"  300","  300","0.0","31.1","33.1","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-23","17.00"," 1101"," 1100","0.00","0.0","9.0","0","7","-8",,"  310","  320","0.0","25.9","30.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-24","13.87"," 1805"," 1123","0.00","0.0","7.0","5","19","-10",,"  320","  220","0.0","21.9","25.9",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-25","14.09"," 1128"," 1118","0.00","0.0","7.0","8","17","-2",,"  340","  340","0.0","23.9","28.0",,,,,,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-26","4.70"," 1532"," 1500","0.00","0.0","7.0","17","14","-4",,"  330","  320","0.0","8.9","10.1",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-27","6.49"," 1320"," 1327","0.00","0.0","6.0","16","16","-8",,"  170","  170","0.0","10.1","11.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-28","7.16"," 1441"," 1447","0.00","0.0","6.0","10","20","-1",,"  170","  170","0.0","14.1","15.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-29","9.62"," 1255"," 1422","0.00","0.0","6.0","16","23","8",,"   60","   60","0.0","16.1","17.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-30","10.29"," 2318"," 2322","0.00","0.0","5.0","16","23","8",,"  290","  290","0.0","16.1","17.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-01-31","13.20"," 1520"," 1444","0.00","0.0","5.0","15","22","8",,"  330","  320","0.0","21.0","23.9","    1",,,,,,,"    1",,,,"    1",,,,,,,,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-01","12.30"," 0517"," 0517","0.00","0.0","6.0","14","24","3",,"  340","  340","0.0","21.9","23.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-02","17.45"," 1027"," 1026","0.00","0.0","6.0","18","33","2",,"  200","  190","0.0","32.0","36.9","    1","    1",,,,,,"    1",,,,"    1",,,,,,,,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-03","22.37"," 0606"," 0605","0.00","0.7","5.0","28","34","22",,"  320","  320","0.0","38.9","44.1","    1","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1","    1",,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-04","15.88"," 0007"," 1134","0.00","0.4","6.0","19","27","10",,"  350","  350","0.0","23.0","25.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-05","9.62"," 1130"," 1136","0.00","0.0","6.0","19","29","8",,"  250","  260","0.0","17.0","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-06","9.40"," 1028"," 1028","0.00","0.5","6.0","23","31","14",,"  210","  210","0.0","17.9","21.0","    1","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-07","7.16"," 0513"," 0509","0.00","0.0","5.0","16","26","6",,"   10","  360","0.0","13.0","15.0","    1","    1",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-08","18.79"," 1944"," 1943","0.00","0.0","5.0","19","35","2",,"  200","  200","0.0","31.1","36.0","    1",,,,,,,,"    1",,,"    1",,,,,"    1",,,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-09","10.29"," 0009"," 2359","0.00","0.0","5.0","32","36","27",,"  230","  230","0.0","19.9","21.9","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-10","14.09"," 1455"," 2132","0.00","0.1","4.0","25","33","17",,"   10","  360","0.0","21.9","25.1","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-11","8.05"," 0241"," 2358","0.00","0.0","4.0","9","17","0",,"  350","  340","0.0","16.1","19.9",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-12","8.95"," 1347"," 1344","0.01","1.0","4.0","12","22","1",,"  150","  150","0.0","17.9","21.0","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-13","13.65"," 0536"," 0535","0.01","2.0","6.0","20","22","18",,"   40","   30","0.0","21.0","23.9","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-14","7.38"," 1535"," 1555","0.00","0.0","6.0","17","23","10",,"  230","  200","0.0","15.0","16.1","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-15","18.57"," 1947"," 1946","0.00","0.9","7.0","28","35","20",,"  330","  330","0.0","36.0","40.0","    1",,,,,"    1",,"    1","    1",,,"    1",,,"    1","    1","    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-16","9.40"," 0101"," 0058","0.00","0.0","7.0","13","20","6",,"  340","  340","0.0","23.9","28.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-17","10.96"," 1511"," 1510","0.00","1.3","6.0","17","26","7",,"  160","  160","0.0","16.1","17.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-18","10.07"," 0806"," 1303","0.00","0.1","7.0","24","28","20",,"   30","   20","0.0","17.0","17.9","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-19","14.76"," 1943"," 1943","0.00","0.0","7.0","22","28","15",,"  300","  300","0.0","29.1","32.0","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-20","13.42"," 1636"," 1625","0.00","0.0","7.0","20","32","7",,"  200","  190","0.0","21.0","23.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-21","12.97"," 0958"," 2133","0.00","0.0","6.0","30","39","21",,"  190","  190","0.0","17.9","21.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-22","9.84"," 1040"," 1037","0.00","0.0","6.0","41","46","35",,"  190","  190","0.0","16.1","17.9","    1","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-23","10.74"," 1946"," 1906","0.04","0.0","3.0","45","51","38",,"  140","  140","0.0","16.1","19.9","    1","    1","    1",,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-24","6.49"," 0020"," 0011","0.00","0.0","1.0","44","47","41",,"  120","  130","0.0","13.0","15.0","    1","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-25","20.80"," 2347"," 1323","0.37","0.0","0.0","51","58","43",,"  210","  150","0.0","30.0","36.0","    1","    1","    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-26","20.80"," 1118"," 1123","0.00","0.0","0.0","43","49","36",,"  220","  210","0.0","33.1","38.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-27","15.21"," 1424"," 1423","0.00","0.0","0.0","38","45","31",,"  290","  290","0.0","23.9","29.1",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-28","17.67"," 1501"," 2114","0.00","0.0","0.0","40","53","27",,"  150","  170","0.0","32.0","38.9",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-02-29","17.22"," 0344"," 0417","0.02","0.0","0.0","44","55","33",,"  190","  190","0.0","25.9","33.1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-01","18.12"," 0716"," 0724","0.00","0.0","0.0","36","43","29",,"  320","  320","0.0","32.0","38.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-02","5.82"," 1012"," 1008","0.00","0.0","0.0","32","43","21",,"   60","   70","0.0","14.1","17.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-03","9.62"," 2314"," 2326","0.00","0.0","0.0","37","48","26",,"  220","  230","0.0","17.0","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-04","7.83"," 0159"," 0306","0.00","0.0","0.0","48","61","34",,"  250","  260","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-05","10.07"," 1558"," 1514","0.00","0.0","0.0","49","65","33",,"  200","  200","0.0","17.0","21.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-06","16.11"," 1518"," 1506","0.00","0.0","0.0","53","67","39",,"  170","  170","0.0","31.1","38.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-07","14.76"," 1647"," 1556","0.00","0.0","0.0","62","75","49",,"  210","  220","0.0","21.0","25.1","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-08","13.20"," 1417"," 1213","0.15","0.0","0.0","57","68","45",,"  190","  190","0.0","25.9","33.1","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-09","17.90"," 0515"," 0414","0.22","1.2","1.0","35","47","23",,"  360","  340","0.0","34.0","44.1","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-10","6.04"," 0139"," 0138","0.00","0.0","0.0","24","27","20",,"   30","   30","0.0","13.0","14.1",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-11","8.05"," 1401"," 1401","0.00","0.0","0.0","28","37","18",,"  310","  310","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","2000-03-12","7.83"," 1636"," 0807","0.00","1.5","0.0","27","30","24",,"   30","   30","0.0","13.0","15.0","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,"    1",
